session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
2,1,1.0,study,phonebooth,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,0.0,2.0,5.0
2,1,2.0,study,wagonwheel,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,7.0,2.0,4.0
2,1,3.0,study,eyechart,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,13.0,2.0,4.0
2,1,4.0,study,perfume01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,19.0,2.0,7.0
2,1,5.0,study,barbecuelighter,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,28.0,2.0,5.0
2,1,6.0,study,litterbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,35.0,2.0,4.0
2,1,7.0,study,ant,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,41.0,2.0,5.0
2,1,8.0,study,kidbicycle,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,48.0,2.0,4.0
2,1,9.0,study,medal02b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,54.0,2.0,4.0
2,1,10.0,study,polarbear,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,60.0,2.0,7.0
2,1,11.0,study,bicycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,69.0,2.0,6.0
2,1,12.0,study,smokingpipe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,77.0,2.0,6.0
2,1,13.0,study,mitten04,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,85.0,2.0,6.0
2,1,14.0,study,giftbow02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,93.0,2.0,4.0
2,1,15.0,study,baseball01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,99.0,2.0,4.0
2,1,16.0,study,addressplate,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,105.0,2.0,5.0
2,1,17.0,study,coffeebean,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,112.0,2.0,5.0
2,1,18.0,study,gluetube,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,119.0,2.0,5.0
2,1,19.0,study,skunk,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,126.0,2.0,4.0
