stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos
8ball,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
accordion01,new,,,2.0,,
aceofdiamond,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
acousticguitar02,new,,,2.0,,
addressplate,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
aircompressor,new,,,2.0,,
airhockeytable,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
almond,new,,,2.0,,
americangoldfinch,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
ant,new,,,2.0,,
apple07,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
apricot,new,,,2.0,,
arm,new,,,2.0,,
axe01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bagel01,new,,,2.0,,
bagtie,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
ballofstring,new,,,2.0,,
balloon01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
banjo,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
barbecuelighter,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
barnowl,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
barrel01,new,,,2.0,,
baseball01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
baseballglove,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
basketball01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bassethound,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
battery02b,new,,,2.0,,
beachpaddle01a,new,,,2.0,,
beachumbrella01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
bed,new,,,2.0,,
belltower01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
bench01,new,,,2.0,,
bicycle,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
bikerack,new,,,2.0,,
binoculars01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
birdhouse,new,,,2.0,,
bison,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
blender,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
blueberry01,new,,,2.0,,
bluejay,new,,,2.0,,
