stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos
8ball,new,,,2.0,,
accordion01,new,,,2.0,,
aceofdiamond,new,,,2.0,,
acousticguitar02,new,,,2.0,,
addressplate,new,,,2.0,,
aircompressor,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
airhockeytable,new,,,2.0,,
almond,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
americangoldfinch,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
ant,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
apple07,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
apricot,new,,,2.0,,
arm,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
axe01,new,,,2.0,,
bagel01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
bagtie,new,,,2.0,,
ballofstring,new,,,2.0,,
balloon01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
banjo,new,,,2.0,,
barbecuelighter,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
barnowl,new,,,2.0,,
barrel01,new,,,2.0,,
baseball01a,new,,,2.0,,
baseballglove,new,,,2.0,,
basketball01,new,,,2.0,,
bassethound,new,,,2.0,,
battery02b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
beachpaddle01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
beachumbrella01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
bed,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
belltower01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
bench01,new,,,2.0,,
bicycle,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bikerack,new,,,2.0,,
binoculars01b,new,,,2.0,,
birdhouse,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
bison,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
blender,new,,,2.0,,
blueberry01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
bluejay,new,,,2.0,,
book01b,new,,,2.0,,
boot02b,new,,,2.0,,
bottlecap,new,,,2.0,,
bowl01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bowlingball,new,,,2.0,,
bowlingpin,new,,,2.0,,
broccoli01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bull,new,,,2.0,,
bust,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
butterdish,new,,,2.0,,
button01,new,,,2.0,,
cabbage,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
calculator01,new,,,2.0,,
callbell,new,,,2.0,,
candleholder01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
candy,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
candycane01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cannon,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
car,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
cardboardbox,new,,,2.0,,
carkey,new,,,2.0,,
carrot01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
carsidemirror01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cartonofeggs,new,,,2.0,,
casabamelon,new,,,2.0,,
cassettetape01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
castle,new,,,2.0,,
cauliflower01,new,,,2.0,,
cd,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cedarwaxwing,new,,,2.0,,
cellphone,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
centurionhelmet,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cessna,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
chain01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
chainsaw,new,,,2.0,,
chalkboarderaser01,new,,,2.0,,
chameleon,new,,,2.0,,
champagne,new,,,2.0,,
chandelier,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cheetah,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cherrypicker,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
chessboard,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
chessknight03a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
chimney,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
chipmunk,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
christmasball,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
christmastree,new,,,2.0,,
cigarette,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
cinderblock,new,,,2.0,,
clock01a,new,,,2.0,,
clover,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
clownfish,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
coathook,new,,,2.0,,
cockroach02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
coffeebean,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
coffeemaker,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
colonialhat,new,,,2.0,,
compactpowder,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
computerkeyboard02,new,,,2.0,,
computermouse06,new,,,2.0,,
congadrum,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
cookingpot,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cooler01,new,,,2.0,,
corn02,new,,,2.0,,
cow,new,,,2.0,,
cracker02,new,,,2.0,,
crown,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cruiseship,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cucumber,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cupcake,new,,,2.0,,
cutleryset,new,,,2.0,,
cymbal,new,,,2.0,,
daisy,new,,,2.0,,
dalmatian,new,,,2.0,,
dandelion,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dartboard,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
dice05a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
diploma01,new,,,2.0,,
diploma02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
discoball,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dishsoap,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
doghouse,new,,,2.0,,
dolly01,new,,,2.0,,
dolphin01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
donut,new,,,2.0,,
doorbolt,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
doorlock,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
doormat,new,,,2.0,,
dreamcatcher,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
dresser02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
drill01b,new,,,2.0,,
drinkshaker,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dromedary,new,,,2.0,,
dropper01,new,,,2.0,,
drumset,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
dryingmachine02,new,,,2.0,,
duck01,new,,,2.0,,
dustpan,new,,,2.0,,
eagle,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
ear,new,,,2.0,,
eiffeltower,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
electricmixer,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
envelope03a,new,,,2.0,,
ethernetcable02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
exercisemachine,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
eye,new,,,2.0,,
eyechart,new,,,2.0,,
fan,new,,,2.0,,
fanblades,new,,,2.0,,
faucet,new,,,2.0,,
filmroll,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
firehydrant,new,,,2.0,,
firstaidkit,new,,,2.0,,
fishinghook03,new,,,2.0,,
flamingo,new,,,2.0,,
flashlight02b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
flask,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
flipflop01b,new,,,2.0,,
floorlamp,new,,,2.0,,
floppydisk02a,new,,,2.0,,
flyswatter,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
football,new,,,2.0,,
