session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
2,1,1.0,study,saintbernard,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0
2,1,2.0,study,dolphin01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,6.0,2.0,4.0
2,1,3.0,study,beachumbrella01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,12.0,2.0,5.0
2,1,4.0,study,christmasball,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,19.0,2.0,6.0
2,1,5.0,study,tape02a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,27.0,2.0,4.0
2,1,6.0,study,interlockingbuildingblock03b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,33.0,2.0,4.0
2,1,7.0,study,stuffedpuffin,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,39.0,2.0,4.0
2,1,8.0,study,eagle,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,45.0,2.0,4.0
2,1,9.0,study,toucan,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,51.0,2.0,5.0
2,1,10.0,study,wagonwheel,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,58.0,2.0,4.0
2,1,11.0,study,kalashnikov,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,64.0,2.0,5.0
2,1,12.0,study,toytank,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,71.0,2.0,4.0
2,1,13.0,study,bicycle,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,77.0,2.0,5.0
2,1,14.0,study,screw02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,84.0,2.0,4.0
2,1,15.0,study,congadrum,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,90.0,2.0,6.0
2,1,16.0,study,television,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,98.0,2.0,4.0
