session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
2,12,1.0,loc,cherrypicker,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,0.0,2.0,7.0,True,3,1.5684403689956525,3.0,1,0.0018802010017680004
2,12,2.0,loc,stapler03a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,9.0,2.0,4.0,True,3,1.4929332909960067,3.0,1,8.98642868999741
2,12,3.0,loc,balloon01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,15.0,2.0,4.0,True,3,1.1154874790081521,3.0,1,14.986336728004972
2,12,4.0,loc,bowl01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,21.0,2.0,6.0,True,2,1.1186935739970068,2.0,1,20.98632778300089
2,12,5.0,loc,visor,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,29.0,2.0,4.0,True,1,2.137353265992715,1.0,0,28.986433696001768
2,12,6.0,loc,kangaroo,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,35.0,2.0,5.0,True,2,1.7048318379966076,2.0,1,34.98626782299834
2,12,7.0,loc,policetape,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,42.0,2.0,5.0,True,1,1.650446715997532,1.0,0,41.98639349300356
2,12,8.0,loc,nose,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,49.0,2.0,4.0,True,1,2.264555845002178,1.0,1,48.98643964699295
2,12,9.0,loc,ramekin01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,55.0,2.0,4.0,True,2,1.4836532319895923,2.0,1,54.9865417569963
2,12,10.0,loc,loppingshears,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,61.0,2.0,4.0,True,4,2.1855960819957545,4.0,1,60.98640326400346
2,12,11.0,loc,doorbolt,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,67.0,2.0,4.0,True,1,1.1366975949931657,1.0,1,66.9862522189942
2,12,12.0,loc,lightbulb01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,73.0,2.0,5.0,True,3,1.2416026299906662,3.0,1,72.986491321004
2,12,13.0,loc,cockroach02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,80.0,2.0,7.0,True,4,1.264092133991653,4.0,1,79.98713551099354
2,12,14.0,loc,nintendods,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,89.0,2.0,4.0,True,2,1.4500851600023452,2.0,1,88.98813913899357
2,12,15.0,loc,jellybean,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,95.0,2.0,4.0,True,2,1.493103050001082,2.0,1,94.98720909199619
2,12,16.0,loc,smokedetector02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,101.0,2.0,6.0,True,3,1.3780902060098015,3.0,0,100.98713117599254
2,12,17.0,loc,turnip,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,109.0,2.0,4.0,True,1,1.7340735269972356,1.0,1,108.98720732500078
2,12,18.0,loc,cessna,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,115.0,2.0,4.0,True,4,2.0510296689899405,4.0,0,114.98731445599697
2,12,19.0,loc,garlicpress02a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,121.0,2.0,5.0,True,3,1.418529991991818,3.0,0,120.98632346199884
2,12,20.0,loc,winniethepooh,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,128.0,2.0,5.0,True,3,1.816235049001989,3.0,1,127.98718358599581
2,12,21.0,loc,dartboard,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,135.0,2.0,4.0,True,4,1.4105942949972814,4.0,1,134.9872513589944
2,12,22.0,loc,motorcycle,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,141.0,2.0,5.0,True,1,1.699447966995649,1.0,1,140.9875025920046
2,12,23.0,loc,scotchtape,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,148.0,2.0,4.0,True,4,1.672935751004843,4.0,0,147.9872112449957
2,12,24.0,loc,chain01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,154.0,2.0,6.0,True,4,1.0513058729993645,4.0,0,153.987197740993
