session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,3,1.0,loc,monitor,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,0.0,2.0,4.0,True,1,1.9634682390005764,1.0,1,0.0018518260003475007
1,3,2.0,loc,keyboard,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,6.0,2.0,4.0,True,1,2.1532660220000253,1.0,0,5.9862852950009255
1,3,3.0,loc,tabascosauce,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,12.0,2.0,6.0,True,2,2.0002668960005394,2.0,0,11.98629615900063
1,3,4.0,loc,stackingring01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,20.0,2.0,7.0,True,2,1.9845458439995127,2.0,1,19.9864392340005
1,3,5.0,loc,cigarette,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,29.0,2.0,4.0,True,3,1.4481257910010754,3.0,0,28.98750278100124
1,3,6.0,loc,dreamcatcher,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,35.0,2.0,4.0,True,4,2.2153535910001665,4.0,1,34.98710229900098
1,3,7.0,loc,studiolight,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,41.0,2.0,5.0,True,1,1.6139167210003507,1.0,1,40.98665930900097
1,3,8.0,loc,microscope,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,48.0,2.0,5.0,True,3,2.1114894180009287,3.0,0,47.98727424500066
1,3,9.0,loc,carsidemirror01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,55.0,2.0,5.0,True,3,2.644471016999887,3.0,0,54.987174830001095
1,3,10.0,loc,licenseplate,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,62.0,2.0,4.0,True,4,1.54282944499937,4.0,1,61.98731011600103
1,3,11.0,loc,apple07,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,68.0,2.0,4.0,True,3,1.9981541779998224,3.0,1,67.98712372299997
1,3,12.0,loc,windmill,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,74.0,2.0,5.0,True,1,1.6173082910008816,1.0,0,73.98679073800122
1,3,13.0,loc,headphones02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,81.0,2.0,4.0,True,2,1.7657437670004583,2.0,0,80.98728396000115
1,3,14.0,loc,birdhouse,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,87.0,2.0,4.0,True,1,1.1509900809996907,1.0,1,86.98703908300013
1,3,15.0,loc,pecan01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,93.0,2.0,4.0,True,3,1.4567509989992686,3.0,1,92.98730688199976
1,3,16.0,loc,pouch01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,99.0,2.0,4.0,True,4,0.7705242629999702,4.0,1,98.98727542600136
1,3,17.0,loc,portapotty,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,105.0,2.0,4.0,True,1,1.2001445070000045,1.0,0,104.98722156900112
1,3,18.0,loc,glassmop,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,111.0,2.0,6.0,True,3,1.3277551609990041,3.0,0,110.98722686499968
1,3,19.0,loc,barbecuelighter,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,119.0,2.0,4.0,True,3,2.461022833000243,3.0,0,118.98721850699985
1,3,20.0,loc,candleholder01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,125.0,2.0,7.0,True,1,1.146803961999467,1.0,1,124.98715516500124
1,3,21.0,loc,giraffe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,134.0,2.0,5.0,True,3,1.639875019000101,3.0,1,133.98721261799983
1,3,22.0,loc,makiroll,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,141.0,2.0,5.0,True,3,1.268813577000401,3.0,0,140.98645153899997
1,3,23.0,loc,phonebooth,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,148.0,2.0,6.0,True,4,1.605092894000336,4.0,0,147.9863355260004
1,3,24.0,loc,peanut01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,156.0,2.0,4.0,True,2,1.7024761440006841,2.0,0,155.98817272199994
