session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,5,1.0,recog,hammerheadshark,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0,True,2,1.3276368099996034,new,0,0.0018638129986356944
1,5,2.0,recog,keyhole,new,,,2.0,,,6.0,2.0,4.0,True,2,0.7404857210003684,new,1,6.005088820998935
1,5,3.0,recog,lightswitch01,new,,,2.0,,,12.0,2.0,5.0,True,2,1.027112556999782,new,1,11.986299025000335
1,5,4.0,recog,addressplate,new,,,2.0,,,19.0,2.0,5.0,True,2,1.0454559040008462,new,1,18.986344639999515
1,5,5.0,recog,gps,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,26.0,2.0,4.0,True,1,1.0507304000002478,old,1,25.985925728999064
1,5,6.0,recog,diploma02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,32.0,2.0,4.0,True,1,0.9744491650017153,old,1,31.986368841999138
1,5,7.0,recog,jackrabbit,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,38.0,2.0,4.0,True,1,0.8540704509996431,old,1,37.98632867899869
1,5,8.0,recog,cannon,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,44.0,2.0,6.0,True,1,0.8210258109993447,old,1,43.98639417800041
1,5,9.0,recog,bison,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,52.0,2.0,6.0,True,1,1.51454076400114,old,1,51.986346698999114
1,5,10.0,recog,coffeemaker,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,60.0,2.0,4.0,True,1,1.3358914619984716,old,1,59.98638656799994
1,5,11.0,recog,chessknight03a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,66.0,2.0,5.0,True,1,1.2203216180005256,old,1,65.9871640170004
1,5,12.0,recog,peeler01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,73.0,2.0,4.0,True,1,1.6130866029998288,old,1,72.98706577399935
1,5,13.0,recog,graduationcap,new,,,2.0,,,79.0,2.0,4.0,True,2,1.7123958060001314,new,1,78.98695156199938
1,5,14.0,recog,rose,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,85.0,2.0,4.0,True,1,1.0708000480008195,old,1,84.9873019429997
1,5,15.0,recog,polarbear,new,,,2.0,,,91.0,2.0,4.0,True,2,1.1052178539994202,new,1,90.98730702099965
1,5,16.0,recog,jumpercables,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,97.0,2.0,7.0,True,1,1.3909360819998255,old,1,96.98735075699915
1,5,17.0,recog,microwave,new,,,2.0,,,106.0,2.0,6.0,True,1,1.2244797210005345,old,0,105.98715010500018
1,5,18.0,recog,pickaxe02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,114.0,2.0,6.0,True,1,1.311597501999131,old,1,113.98706473499988
1,5,19.0,recog,garlic01a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,122.0,2.0,4.0,True,1,1.0012596560009115,old,1,121.98716912700002
1,5,20.0,recog,table01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,128.0,2.0,4.0,True,1,1.4933049439987371,old,1,127.98658623499978
1,5,21.0,recog,hairdryer02a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,134.0,2.0,7.0,True,1,2.0289291860008234,old,1,133.9872254210004
1,5,22.0,recog,windsurfboard,new,,,2.0,,,143.0,2.0,5.0,True,2,1.2212320660000842,new,1,142.98725201599882
1,5,23.0,recog,gamepiece,new,,,2.0,,,150.0,2.0,4.0,True,2,1.5381256300006498,new,1,149.9872758069996
1,5,24.0,recog,fishinghook03,new,,,2.0,,,156.0,2.0,4.0,True,2,2.1287002980006946,new,1,155.9872230889996
1,5,25.0,recog,dishsoap,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,162.0,2.0,4.0,True,1,1.639076147999731,old,1,161.98726127899863
1,5,26.0,recog,pear01,new,,,2.0,,,168.0,2.0,4.0,True,2,1.640838511999391,new,1,167.98733623899898
1,5,27.0,recog,redfox,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,174.0,2.0,4.0,True,1,1.1321525669991388,old,1,173.98714000299879
1,5,28.0,recog,teabag,new,,,2.0,,,180.0,2.0,4.0,True,1,2.3088042789986503,old,0,179.98637853199943
1,5,29.0,recog,tortoise01,new,,,2.0,,,186.0,2.0,5.0,True,2,1.588619132000531,new,1,185.98806997499923
1,5,30.0,recog,thimble,new,,,2.0,,,193.0,2.0,5.0,True,2,1.290018682999289,new,1,192.9881693619991
1,5,31.0,recog,cheetah,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,200.0,2.0,4.0,True,1,1.1748051909999049,old,1,199.9886872119987
1,5,32.0,recog,belltower01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,206.0,2.0,6.0,True,1,1.328853244000129,old,1,205.9864067519993
1,5,33.0,recog,sewingmachine01a,new,,,2.0,,,214.0,2.0,5.0,True,1,1.7444510009991063,old,0,213.98808848599947
1,5,34.0,recog,electricmixer,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,221.0,2.0,4.0,True,1,1.40035929700025,old,1,220.98811494999973
1,5,35.0,recog,broccoli01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,227.0,2.0,5.0,True,1,0.8010136390003026,old,1,226.9880163300004
1,5,36.0,recog,toytractor01b,new,,,2.0,,,234.0,2.0,4.0,True,2,1.4151115940003365,new,1,233.98634074099937
1,5,37.0,recog,softcheese,new,,,2.0,,,240.0,2.0,4.0,True,2,0.9442135529989173,new,1,239.9880718839995
1,5,38.0,recog,discoball,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,246.0,2.0,5.0,True,2,1.339451461999488,new,0,245.98816638599965
1,5,39.0,recog,nametag01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,253.0,2.0,4.0,True,1,0.879870437000136,old,1,252.9863018879987
1,5,40.0,recog,hand01b,new,,,2.0,,,259.0,2.0,7.0,True,2,1.0053519039993262,new,1,258.98875937199955
1,5,41.0,recog,flipflop01b,new,,,2.0,,,268.0,2.0,4.0,True,2,1.3992385740002646,new,1,267.9881367839989
1,5,42.0,recog,tankertruck,new,,,2.0,,,274.0,2.0,6.0,True,2,1.169399357000657,new,1,273.9881297459997
1,5,43.0,recog,bowlingpin,new,,,2.0,,,282.0,2.0,5.0,True,2,1.9372860029998265,new,1,281.9879916339996
1,5,44.0,recog,cooler01,new,,,2.0,,,289.0,2.0,4.0,True,2,2.0343223590007256,new,1,288.9882687699992
1,5,45.0,recog,cracker02,new,,,2.0,,,295.0,2.0,5.0,True,2,1.3540228719994047,new,1,294.9863916060003
1,5,46.0,recog,envelope03a,new,,,2.0,,,302.0,2.0,5.0,True,1,3.003204693999578,old,0,301.98628318400006
1,5,47.0,recog,clock01a,new,,,2.0,,,309.0,2.0,4.0,True,2,2.117899347000275,new,1,308.9863117419991
1,5,48.0,recog,drinkshaker,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,315.0,2.0,4.0,True,1,0.8203652440006408,old,1,314.986353237
