session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
1,2,33.0,recog,studiolight,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,215.0,2.0,5.0
1,2,34.0,recog,rockingchair,new,,,2.0,,,222.0,2.0,4.0
1,2,35.0,recog,binoculars01b,new,,,2.0,,,228.0,2.0,4.0
1,2,36.0,recog,bagel01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,234.0,2.0,5.0
1,2,37.0,recog,mrpotatohead,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,241.0,2.0,4.0
1,2,38.0,recog,violin,new,,,2.0,,,247.0,2.0,5.0
1,2,39.0,recog,dustpan,new,,,2.0,,,254.0,2.0,6.0
1,2,40.0,recog,waterbottle01b,new,,,2.0,,,262.0,2.0,5.0
1,2,41.0,recog,tortoise01,new,,,2.0,,,269.0,2.0,4.0
1,2,42.0,recog,cupcake,new,,,2.0,,,275.0,2.0,4.0
1,2,43.0,recog,rose,new,,,2.0,,,281.0,2.0,7.0
1,2,44.0,recog,siamesecat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,290.0,2.0,4.0
1,2,45.0,recog,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,296.0,2.0,5.0
1,2,46.0,recog,motorcycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,303.0,2.0,4.0
1,2,47.0,recog,lifesaver,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,309.0,2.0,4.0
1,2,48.0,recog,addressplate,new,,,2.0,,,315.0,2.0,4.0
1,3,1.0,loc,cabbage,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0
1,3,2.0,loc,dalmatian,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,6.0,2.0,4.0
1,3,3.0,loc,hibiscusflower02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,12.0,2.0,4.0
1,3,4.0,loc,ear,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,18.0,2.0,4.0
1,3,5.0,loc,exercisemachine,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,24.0,2.0,6.0
1,3,6.0,loc,birdhouse,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,32.0,2.0,4.0
1,3,7.0,loc,bagel01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,38.0,2.0,4.0
1,3,8.0,loc,sprinkler,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,44.0,2.0,4.0
1,3,9.0,loc,sewingmachine01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,50.0,2.0,5.0
1,3,10.0,loc,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,57.0,2.0,4.0
1,3,11.0,loc,leek,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,63.0,2.0,4.0
1,3,12.0,loc,studiolight,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,69.0,2.0,4.0
1,3,13.0,loc,candycane01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,75.0,2.0,7.0
1,3,14.0,loc,rubberglove02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,84.0,2.0,6.0
1,3,15.0,loc,pecan01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,92.0,2.0,7.0
1,3,16.0,loc,trophy01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,101.0,2.0,4.0
1,3,17.0,loc,discoball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,107.0,2.0,6.0
1,3,18.0,loc,lifesaver,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,115.0,2.0,5.0
1,3,19.0,loc,motorcycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,122.0,2.0,5.0
1,3,20.0,loc,masquerademask01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,129.0,2.0,5.0
1,3,21.0,loc,bagtie,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,136.0,2.0,5.0
1,3,22.0,loc,tiger02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,143.0,2.0,4.0
1,3,23.0,loc,mrpotatohead,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,149.0,2.0,4.0
1,3,24.0,loc,siamesecat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,155.0,2.0,5.0
1,4,1.0,study,watercolorpaintset,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,0.0,2.0,5.0
1,4,2.0,study,puttyknife,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,7.0,2.0,5.0
1,4,3.0,study,sturgeon,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,14.0,2.0,4.0
1,4,4.0,study,jar03,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,20.0,2.0,7.0
1,4,5.0,study,greenolive,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,29.0,2.0,6.0
1,4,6.0,study,screw02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,37.0,2.0,6.0
1,4,7.0,study,laptop01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,45.0,2.0,4.0
1,4,8.0,study,cartonofeggs,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,51.0,2.0,4.0
1,4,9.0,study,porsche,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,57.0,2.0,4.0
1,4,10.0,study,litterbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,63.0,2.0,4.0
1,4,11.0,study,potatomasher03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,69.0,2.0,5.0
1,4,12.0,study,hardhat02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,76.0,2.0,4.0
1,4,13.0,study,ladybug03,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,82.0,2.0,4.0
1,4,14.0,study,hammer01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,88.0,2.0,6.0
1,4,15.0,study,microscope,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,96.0,2.0,4.0
1,4,16.0,study,pacifier02d,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,102.0,2.0,5.0
1,4,17.0,study,pouch01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,109.0,2.0,4.0
1,4,18.0,study,jeans01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,115.0,2.0,4.0
1,4,19.0,study,pooltable,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,121.0,2.0,4.0
1,4,20.0,study,tshirt,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,127.0,2.0,5.0
1,4,21.0,study,hose,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,134.0,2.0,7.0
1,4,22.0,study,garbagecan02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,143.0,2.0,4.0
1,4,23.0,study,mushroom01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,149.0,2.0,5.0
1,4,24.0,study,microphone01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,156.0,2.0,4.0
1,5,1.0,recog,taperecorder,new,,,2.0,,,0.0,2.0,5.0
1,5,2.0,recog,chandelier,new,,,2.0,,,7.0,2.0,4.0
1,5,3.0,recog,screw02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,13.0,2.0,7.0
1,5,4.0,recog,firstaidkit,new,,,2.0,,,22.0,2.0,4.0
1,5,5.0,recog,pineapple01a,new,,,2.0,,,28.0,2.0,4.0
1,5,6.0,recog,watercolorpaintset,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,34.0,2.0,4.0
1,5,7.0,recog,snowman,new,,,2.0,,,40.0,2.0,7.0
1,5,8.0,recog,litterbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,49.0,2.0,5.0
1,5,9.0,recog,cartonofeggs,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,56.0,2.0,5.0
1,5,10.0,recog,chessknight03a,new,,,2.0,,,63.0,2.0,4.0
1,5,11.0,recog,garbagecan02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,69.0,2.0,4.0
1,5,12.0,recog,pacifier02d,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,75.0,2.0,5.0
1,5,13.0,recog,microphone01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,82.0,2.0,4.0
1,5,14.0,recog,fishinghook03,new,,,2.0,,,88.0,2.0,4.0
1,5,15.0,recog,jeans01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,94.0,2.0,4.0
1,5,16.0,recog,flipflop01b,new,,,2.0,,,100.0,2.0,5.0
1,5,17.0,recog,tshirt,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,107.0,2.0,4.0
