session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
2,11,1.0,recog,battery02b,new,,,2.0,,,0.0,2.0,5.0,True,2,0.8630733189929742,new,1,0.001856310002040118
2,11,2.0,recog,basketball01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,7.0,2.0,5.0,True,1,0.8286784810043173,old,1,7.001193061005324
2,11,3.0,recog,mushroom01,new,,,2.0,,,14.0,2.0,4.0,True,2,0.8567934970051283,new,1,13.986422579997452
2,11,4.0,recog,revolver,new,,,2.0,,,20.0,2.0,5.0,True,2,1.0011316780000925,new,1,19.98634966800455
2,11,5.0,recog,baseball01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,27.0,2.0,4.0,True,1,0.8575969600060489,old,1,26.986268185006338
2,11,6.0,recog,ear,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,33.0,2.0,4.0,True,1,0.6801887579931645,old,1,32.986392286009504
2,11,7.0,recog,bottlecap,new,,,2.0,,,39.0,2.0,5.0,True,2,0.7216173089982476,new,1,38.98639696300961
2,11,8.0,recog,volleyball,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,46.0,2.0,5.0,True,1,0.8124391099991044,old,1,45.98630539700389
2,11,9.0,recog,flamingo,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,53.0,2.0,5.0,True,1,1.1285815270093735,old,1,52.98635823299992
2,11,10.0,recog,pickaxe02,new,,,2.0,,,60.0,2.0,6.0,True,2,0.8235678920027567,new,1,59.985539112996776
2,11,11.0,recog,propanetank01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,68.0,2.0,4.0,True,1,0.9390953820111463,old,1,67.98644037000486
2,11,12.0,recog,chalkboarderaser01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,74.0,2.0,4.0,True,1,2.020885631995043,old,1,73.98639130100491
2,11,13.0,recog,keyhole,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,80.0,2.0,4.0,True,1,1.5990808539936552,old,1,79.986373000007
2,11,14.0,recog,giftbow02b,new,,,2.0,,,86.0,2.0,4.0,True,2,0.7789762830070686,new,1,85.98626278800657
2,11,15.0,recog,rubberglove02b,new,,,2.0,,,92.0,2.0,4.0,True,2,0.7550070689903805,new,1,91.98640429800435
2,11,16.0,recog,tent,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,98.0,2.0,5.0,True,1,0.746330930996919,old,1,97.98645783599932
2,11,17.0,recog,scissorlift,new,,,2.0,,,105.0,2.0,4.0,True,2,1.8767804009985412,new,1,104.98608100799902
2,11,18.0,recog,bison,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,111.0,2.0,5.0,True,1,0.745430173992645,old,1,110.98598933500762
2,11,19.0,recog,mrpotatohead,new,,,2.0,,,118.0,2.0,4.0,True,2,0.6633544359938242,new,1,117.98714871800621
2,11,20.0,recog,usbcable01a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,124.0,2.0,4.0,True,1,0.7370118240069132,old,1,123.98703319000197
2,11,21.0,recog,smokingpipe,new,,,2.0,,,130.0,2.0,5.0,True,2,0.8442412910080748,new,1,129.98703073400247
2,11,22.0,recog,bench01,new,,,2.0,,,137.0,2.0,7.0,True,2,0.7655739910114789,new,1,136.98741757399694
2,11,23.0,recog,gift01,new,,,2.0,,,146.0,2.0,4.0,True,2,1.120272868007305,new,1,145.9872234860086
2,11,24.0,recog,popcorn,new,,,2.0,,,152.0,2.0,7.0,True,2,0.6681490260089049,new,1,151.98685588700755
2,11,25.0,recog,daisy,new,,,2.0,,,161.0,2.0,4.0,True,2,0.919697086996166,new,1,160.98613349700463
2,11,26.0,recog,martiniglass01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,167.0,2.0,4.0,True,1,1.982260688993847,old,1,166.98749511300412
