session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,11,1.0,recog,toysoldier01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0,True,1,0.7982193750003717,old,1,0.0018841609999071807
1,11,2.0,recog,jeans01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,6.0,2.0,4.0,True,1,0.6293070669998997,old,1,6.0004470809999475
1,11,3.0,recog,chipmunk,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,12.0,2.0,5.0,True,1,0.7697603110000273,old,1,11.986271169999782
1,11,4.0,recog,strawberry,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,19.0,2.0,4.0,True,1,0.5998923000006471,old,1,18.98633508399962
1,11,5.0,recog,crown,new,,,2.0,,,25.0,2.0,5.0,True,2,0.6108575619991825,new,1,24.98627029399995
1,11,6.0,recog,cutleryset,new,,,2.0,,,32.0,2.0,5.0,True,2,0.8418863700007932,new,1,31.986504721999154
1,11,7.0,recog,fan,new,,,2.0,,,39.0,2.0,5.0,True,2,0.7726861729997836,new,1,38.98637777499971
1,11,8.0,recog,jarofcapers,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,46.0,2.0,5.0,True,1,0.6957033800008503,old,1,45.986244135999186
1,11,9.0,recog,granolabar01,new,,,2.0,,,53.0,2.0,4.0,True,2,0.8426015880004343,new,1,52.98631484799989
1,11,10.0,recog,violin,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,59.0,2.0,4.0,True,1,0.9303032869993331,old,1,58.98608416299976
1,11,11.0,recog,doorbolt,new,,,2.0,,,65.0,2.0,5.0,True,2,1.015658225000152,new,1,64.9862515979994
1,11,12.0,recog,smokedetector02,new,,,2.0,,,72.0,2.0,5.0,True,2,0.9100182410002162,new,1,71.9863996289996
1,11,13.0,recog,kiwi03,new,,,2.0,,,79.0,2.0,4.0,True,2,1.506272841000282,new,1,78.98561358999996
1,11,14.0,recog,christmasball,new,,,2.0,,,85.0,2.0,4.0,True,2,0.742254958000558,new,1,84.98640025699933
1,11,15.0,recog,faucet,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,91.0,2.0,6.0,True,2,0.7719427049996739,new,0,90.98630299599972
1,11,16.0,recog,garbagebin,new,,,2.0,,,99.0,2.0,4.0,True,1,1.9054663509996317,old,0,98.9872400409995
1,11,17.0,recog,cedarwaxwing,new,,,2.0,,,105.0,2.0,4.0,True,1,0.7473372829999789,old,0,104.98739008299981
1,11,18.0,recog,rockbass,new,,,2.0,,,111.0,2.0,4.0,True,2,1.25483504299973,new,1,110.98735881599987
1,11,19.0,recog,cannon,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,117.0,2.0,5.0,True,1,0.8294800499998018,old,1,116.98716842799968
1,11,20.0,recog,lamp04a,new,,,2.0,,,124.0,2.0,4.0,True,2,1.3353379949994633,new,1,123.98718721399928
1,11,21.0,recog,jellybean,new,,,2.0,,,130.0,2.0,4.0,True,2,0.7562513080001736,new,1,129.98732861399913
1,11,22.0,recog,highlighter02b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,136.0,2.0,4.0,True,1,0.7620860759998322,old,1,135.98733160899974
1,11,23.0,recog,barrel01,new,,,2.0,,,142.0,2.0,4.0,True,2,1.5041936589996112,new,1,141.98732413999915
1,11,24.0,recog,saintbernard,new,,,2.0,,,148.0,2.0,4.0,True,2,1.7051092040001095,new,1,147.98721775399918
1,11,25.0,recog,pouch01b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,154.0,2.0,4.0,True,1,0.9942396529995676,old,1,153.9872483499994
1,11,26.0,recog,dandelion,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,160.0,2.0,7.0,True,1,0.6321240150000449,old,1,159.98721226599991
1,11,27.0,recog,fanblades,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,169.0,2.0,4.0,True,1,0.5935668580004858,old,1,168.987011704
1,11,28.0,recog,hardhat02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,175.0,2.0,4.0,True,1,0.7433623639999496,old,1,174.98720107099962
1,11,29.0,recog,giraffe,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,181.0,2.0,6.0,True,1,0.6170852969999032,old,1,180.9863549469992
1,11,30.0,recog,tomato01,new,,,2.0,,,189.0,2.0,4.0,True,2,0.8583982139998625,new,1,188.98723264699947
1,11,31.0,recog,bikerack,new,,,2.0,,,195.0,2.0,4.0,True,2,1.0323604670002169,new,1,194.9872328879992
1,11,32.0,recog,kettle01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,201.0,2.0,7.0,True,1,0.8633345219996045,old,1,200.9871629499994
1,11,33.0,recog,pooltable,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,210.0,2.0,6.0,True,1,1.1502895909998188,old,1,209.98753491199932
1,11,34.0,recog,table01,new,,,2.0,,,218.0,2.0,4.0,True,2,0.7193604160001996,new,1,217.9864357159995
1,11,35.0,recog,screw02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,224.0,2.0,5.0,True,1,0.8022376930002793,old,1,223.98640798199995
1,11,36.0,recog,storagebin,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,231.0,2.0,6.0,True,1,0.7276612040004693,old,1,230.98823382999944
1,11,37.0,recog,jar03,new,,,2.0,,,239.0,2.0,4.0,True,1,1.9772068499996749,old,0,238.98643105499923
1,11,38.0,recog,puttyknife,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,245.0,2.0,4.0,True,1,0.7502267380004923,old,1,244.98639684199952
1,11,39.0,recog,monitor,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,251.0,2.0,5.0,True,2,0.7571233039998333,new,0,250.98814684699937
1,11,40.0,recog,kalashnikov,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,258.0,2.0,4.0,True,1,1.1611948980007583,old,1,257.98645396899974
1,11,41.0,recog,tiger02,new,,,2.0,,,264.0,2.0,4.0,True,1,0.9370595059999687,old,0,263.98631002299953
1,11,42.0,recog,highheelshoe01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,270.0,2.0,5.0,True,1,0.7423773430000438,old,1,269.9863799149998
1,11,43.0,recog,kangaroo,new,,,2.0,,,277.0,2.0,5.0,True,2,0.851656138999715,new,1,276.98833106099937
1,11,44.0,recog,cucumber,new,,,2.0,,,284.0,2.0,4.0,True,2,0.9051113649993567,new,1,283.98642856599963
1,11,45.0,recog,dishsoap,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,290.0,2.0,7.0,True,1,0.8799308349998682,old,1,289.986467664
1,11,46.0,recog,shoulderpad,new,,,2.0,,,299.0,2.0,6.0,True,2,1.449600943000405,new,1,298.98815922799986
1,11,47.0,recog,makeupbrush04,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,307.0,2.0,6.0,True,1,0.7373150339999484,old,1,306.98644717299976
