session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,8,1.0,recog,centurionhelmet,new,,,2.0,,,0.0,2.0,4.0,True,2,2.4530624330000137,new,1.0,0.0018941030011774274
1,8,2.0,recog,toothpastetube,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,6.0,2.0,4.0,True,1,1.6168596429997706,old,1.0,5.98626750800031
1,8,3.0,recog,americangoldfinch,new,,,2.0,,,12.0,2.0,4.0,True,2,1.1426552240009187,new,1.0,11.986407891001363
1,8,4.0,recog,knife03,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,18.0,2.0,4.0,True,1,1.6670537629997852,old,1.0,17.986267538000902
1,8,5.0,recog,fryingpan02a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,24.0,2.0,4.0,True,1,1.94833730100072,old,1.0,23.98553792200073
1,8,6.0,recog,hubcap,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,30.0,2.0,4.0,True,1,2.00683550299982,old,1.0,29.98641886600126
1,8,7.0,recog,bicycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,36.0,2.0,6.0,True,1,1.3771848010001122,old,1.0,35.98631785100042
1,8,8.0,recog,monitor,new,,,2.0,,,44.0,2.0,4.0,True,2,1.1520892190001177,new,1.0,43.98630924600002
1,8,9.0,recog,frenchhorn,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,50.0,2.0,4.0,True,1,1.3649638459992275,old,1.0,49.986426046001725
1,8,10.0,recog,sprinkler,new,,,2.0,,,56.0,2.0,6.0,True,1,2.1247662419991684,old,0.0,55.98622865000107
1,8,11.0,recog,turnip,new,,,2.0,,,64.0,2.0,4.0,True,2,2.0747964630008937,new,1.0,63.98629092200099
1,8,12.0,recog,cedarwaxwing,new,,,2.0,,,70.0,2.0,4.0,True,2,2.120952629000385,new,1.0,69.9863537250003
1,8,13.0,recog,lightswitch01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,76.0,2.0,4.0,True,1,1.1400915119993442,old,1.0,75.98601327000142
1,8,14.0,recog,turkey,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,82.0,2.0,4.0,True,1,1.6654592820013931,old,1.0,81.98640403400168
1,8,15.0,recog,fridge,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,88.0,2.0,5.0,True,1,1.552718241000548,old,1.0,87.98631436100004
1,8,16.0,recog,christmasball,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,95.0,2.0,5.0,True,1,1.8611309690004418,old,1.0,94.9872758420006
1,8,17.0,recog,addressplate,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,102.0,2.0,5.0,True,1,1.2967207670008065,old,1.0,101.9872502470007
1,8,18.0,recog,baseballglove,new,,,2.0,,,109.0,2.0,7.0,True,2,1.9201135139992402,new,1.0,108.98712347100081
1,8,19.0,recog,granolabar01,new,,,2.0,,,118.0,2.0,4.0,True,2,1.914051097999618,new,1.0,117.9871532240013
1,8,20.0,recog,giftbag01a,new,,,2.0,,,124.0,2.0,4.0,True,2,2.5040660129998287,new,1.0,123.98708200700094
1,8,21.0,recog,football,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,130.0,2.0,4.0,True,1,1.2366419680001854,old,1.0,129.98712840100052
1,8,22.0,recog,thread02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,136.0,2.0,6.0,True,1,1.3420377010006632,old,1.0,135.9870729890008
1,8,23.0,recog,crown,new,,,2.0,,,144.0,2.0,5.0,True,2,1.6378731620006874,new,1.0,143.987221202
1,8,24.0,recog,ramekin01,new,,,2.0,,,151.0,2.0,4.0,True,1,1.9400092529995163,old,0.0,150.98703692900017
1,8,25.0,recog,shoulderpad,new,,,2.0,,,157.0,2.0,4.0,True,2,2.676593131000118,new,1.0,156.9871095690014
1,8,26.0,recog,lemon02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,163.0,2.0,6.0,True,1,1.178982557999916,old,1.0,162.98714644900065
1,8,27.0,recog,bowl01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,171.0,2.0,6.0,True,1,1.6348135990010633,old,1.0,170.98696485000073
1,8,28.0,recog,moose,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,179.0,2.0,4.0,True,1,1.6931277409985341,old,1.0,178.98708459700174
1,8,29.0,recog,cheetah,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,185.0,2.0,6.0,True,1,1.3821078660002968,old,1.0,184.9870362390011
1,8,30.0,recog,licenseplate,new,,,2.0,,,193.0,2.0,5.0,False,,,,,192.98701547700148
1,8,31.0,recog,barnowl,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,200.0,2.0,4.0,True,1,1.5738074159999087,old,1.0,199.9871788950004
1,8,32.0,recog,drill01b,new,,,2.0,,,206.0,2.0,7.0,True,2,1.377134873999239,new,1.0,205.9880122350005
1,8,33.0,recog,beachumbrella01,new,,,2.0,,,215.0,2.0,4.0,True,1,2.0202024440004607,old,0.0,214.9881478390016
1,8,34.0,recog,champagne,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,221.0,2.0,5.0,True,1,0.9432208960006392,old,1.0,220.98793366300015
1,8,35.0,recog,rooster,new,,,2.0,,,228.0,2.0,5.0,True,2,2.334701325000424,new,1.0,227.98817620000045
1,8,36.0,recog,teapot,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,235.0,2.0,4.0,True,1,2.2138859759998013,old,1.0,234.9883381010004
1,8,37.0,recog,tissuebox01b,new,,,2.0,,,241.0,2.0,4.0,True,2,1.2609094359995652,new,1.0,240.98809824800082
1,8,38.0,recog,marker01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,247.0,2.0,7.0,True,1,1.0019395840008656,old,1.0,246.98812645200087
1,8,39.0,recog,measuringspoon,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,256.0,2.0,5.0,True,2,1.5705833140000323,new,0.0,255.98813135500131
1,8,40.0,recog,spraybottle01,new,,,2.0,,,263.0,2.0,4.0,True,2,1.4429211340011534,new,1.0,262.9880826080007
1,8,41.0,recog,lifesaver,new,,,2.0,,,269.0,2.0,4.0,True,2,1.6259119990008912,new,1.0,268.98810953000066
1,8,42.0,recog,bluejay,new,,,2.0,,,275.0,2.0,4.0,True,2,1.5620412810003472,new,1.0,274.9880842980001
1,8,43.0,recog,donut,new,,,2.0,,,281.0,2.0,4.0,True,2,1.0552454919998127,new,1.0,280.98779534300047
1,8,44.0,recog,toytank,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,287.0,2.0,5.0,True,1,1.1429454359986266,old,1.0,286.98813751800117
1,8,45.0,recog,seagull,new,,,2.0,,,294.0,2.0,5.0,True,2,2.3778586330008693,new,1.0,293.9881750860004
1,8,46.0,recog,carrot01,new,,,2.0,,,301.0,2.0,5.0,True,2,1.3671848140002112,new,1.0,300.98795015500036
1,8,47.0,recog,sheep,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,308.0,2.0,4.0,True,1,1.5840966499999922,old,1.0,307.98813674600024
1,8,48.0,recog,postitnote,new,,,2.0,,,314.0,2.0,5.0,True,2,0.871875535000072,new,1.0,313.98808128400015
