session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
2,1,1.0,study,carsidemirror01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,0.0,2.0,5.0
2,1,2.0,study,tortoise01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,7.0,2.0,6.0
2,1,3.0,study,snowglobe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,15.0,2.0,4.0
2,1,4.0,study,styrofoamcup,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,21.0,2.0,5.0
2,1,5.0,study,oneholepunch,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,28.0,2.0,6.0
2,1,6.0,study,diploma01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,36.0,2.0,4.0
2,1,7.0,study,siamesecat,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,42.0,2.0,4.0
2,1,8.0,study,qtip,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,48.0,2.0,4.0
2,1,9.0,study,revolver,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,54.0,2.0,4.0
2,1,10.0,study,strawberry,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,60.0,2.0,4.0
2,1,11.0,study,boot02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,66.0,2.0,4.0
2,1,12.0,study,computermouse06,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,72.0,2.0,4.0
2,1,13.0,study,tupperware03a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,78.0,2.0,6.0
2,1,14.0,study,peeler01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,86.0,2.0,4.0
2,1,15.0,study,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,92.0,2.0,4.0
2,1,16.0,study,compactpowder,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,98.0,2.0,4.0
2,1,17.0,study,dresser02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,104.0,2.0,7.0
2,1,18.0,study,fanblades,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,113.0,2.0,5.0
2,1,19.0,study,toyanimal04,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,120.0,2.0,5.0
2,1,20.0,study,winniethepooh,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,127.0,2.0,7.0
2,1,21.0,study,duck01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,136.0,2.0,4.0
2,1,22.0,study,flipflop01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,142.0,2.0,4.0
2,1,23.0,study,nailclipper03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,148.0,2.0,5.0
2,1,24.0,study,orange,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,155.0,2.0,5.0
2,2,1.0,recog,snowglobe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,0.0,2.0,5.0
2,2,2.0,recog,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,7.0,2.0,4.0
2,2,3.0,recog,toyanimal04,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,13.0,2.0,4.0
2,2,4.0,recog,winniethepooh,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,19.0,2.0,4.0
2,2,5.0,recog,grandpiano,new,,,2.0,,,25.0,2.0,6.0
2,2,6.0,recog,blender,new,,,2.0,,,33.0,2.0,5.0
2,2,7.0,recog,dartboard,new,,,2.0,,,40.0,2.0,4.0
2,2,8.0,recog,computermouse06,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,46.0,2.0,4.0
2,2,9.0,recog,speedball,new,,,2.0,,,52.0,2.0,4.0
2,2,10.0,recog,tortoise01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,58.0,2.0,5.0
2,2,11.0,recog,potatomasher03b,new,,,2.0,,,65.0,2.0,4.0
2,2,12.0,recog,tricycle,new,,,2.0,,,71.0,2.0,4.0
2,2,13.0,recog,doorlock,new,,,2.0,,,77.0,2.0,4.0
2,2,14.0,recog,strawberry,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,83.0,2.0,5.0
2,2,15.0,recog,dresser02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,90.0,2.0,5.0
2,2,16.0,recog,bust,new,,,2.0,,,97.0,2.0,4.0
2,2,17.0,recog,styrofoamcup,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,103.0,2.0,6.0
2,2,18.0,recog,compactpowder,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,111.0,2.0,4.0
2,2,19.0,recog,telephone01b,new,,,2.0,,,117.0,2.0,6.0
2,2,20.0,recog,grater01a,new,,,2.0,,,125.0,2.0,5.0
2,2,21.0,recog,nailclipper03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,132.0,2.0,4.0
2,2,22.0,recog,orange,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,138.0,2.0,4.0
2,2,23.0,recog,qtip,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,144.0,2.0,6.0
2,2,24.0,recog,tupperware03a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,152.0,2.0,4.0
2,2,25.0,recog,scotchtape,new,,,2.0,,,158.0,2.0,6.0
2,2,26.0,recog,stapleremover,new,,,2.0,,,166.0,2.0,4.0
2,2,27.0,recog,usbcable01a,new,,,2.0,,,172.0,2.0,5.0
2,2,28.0,recog,peeler01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,179.0,2.0,4.0
2,2,29.0,recog,diploma02,new,,,2.0,,,185.0,2.0,5.0
2,2,30.0,recog,trophy01,new,,,2.0,,,192.0,2.0,4.0
2,2,31.0,recog,wheelchair,new,,,2.0,,,198.0,2.0,4.0
2,2,32.0,recog,propanetank01,new,,,2.0,,,204.0,2.0,4.0
2,2,33.0,recog,boot02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,210.0,2.0,6.0
2,2,34.0,recog,carsidemirror01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,218.0,2.0,4.0
2,2,35.0,recog,pillbottle,new,,,2.0,,,224.0,2.0,4.0
2,2,36.0,recog,hammer01,new,,,2.0,,,230.0,2.0,7.0
2,2,37.0,recog,fanblades,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,239.0,2.0,4.0
2,2,38.0,recog,revolver,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,245.0,2.0,4.0
2,2,39.0,recog,flipflop01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,251.0,2.0,4.0
2,2,40.0,recog,duck01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,257.0,2.0,4.0
2,2,41.0,recog,scooter,new,,,2.0,,,263.0,2.0,4.0
2,2,42.0,recog,oneholepunch,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,269.0,2.0,5.0
2,2,43.0,recog,coffeemaker,new,,,2.0,,,276.0,2.0,7.0
2,2,44.0,recog,diploma01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,285.0,2.0,4.0
2,2,45.0,recog,siamesecat,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,291.0,2.0,5.0
2,2,46.0,recog,shelves,new,,,2.0,,,298.0,2.0,7.0
2,2,47.0,recog,coathook,new,,,2.0,,,307.0,2.0,5.0
2,2,48.0,recog,dryingmachine02,new,,,2.0,,,314.0,2.0,5.0
2,3,1.0,loc,toyanimal04,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,5.0
2,3,2.0,loc,oneholepunch,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,7.0,2.0,5.0
2,3,3.0,loc,orange,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,14.0,2.0,7.0
2,3,4.0,loc,siamesecat,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,23.0,2.0,6.0
2,3,5.0,loc,nailclipper03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,31.0,2.0,5.0
2,3,6.0,loc,carsidemirror01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,38.0,2.0,4.0
2,3,7.0,loc,fanblades,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,44.0,2.0,4.0
2,3,8.0,loc,tupperware03a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,50.0,2.0,4.0
2,3,9.0,loc,revolver,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,56.0,2.0,6.0
2,3,10.0,loc,strawberry,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,64.0,2.0,5.0
2,3,11.0,loc,flipflop01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,71.0,2.0,4.0
2,3,12.0,loc,tortoise01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,77.0,2.0,5.0
2,3,13.0,loc,styrofoamcup,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,84.0,2.0,4.0
2,3,14.0,loc,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,90.0,2.0,6.0
2,3,15.0,loc,compactpowder,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,98.0,2.0,7.0
2,3,16.0,loc,qtip,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,107.0,2.0,4.0
2,3,17.0,loc,boot02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,113.0,2.0,4.0
2,3,18.0,loc,peeler01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,119.0,2.0,4.0
2,3,19.0,loc,snowglobe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,125.0,2.0,4.0
2,3,20.0,loc,duck01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,131.0,2.0,4.0
2,3,21.0,loc,diploma01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,137.0,2.0,4.0
2,3,22.0,loc,dresser02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,143.0,2.0,5.0
2,3,23.0,loc,computermouse06,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,150.0,2.0,4.0
2,3,24.0,loc,winniethepooh,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,156.0,2.0,4.0
2,4,1.0,study,syringe01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,0.0,2.0,4.0
2,4,2.0,study,bull,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,6.0,2.0,5.0
2,4,3.0,study,cruiseship,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,13.0,2.0,5.0
