session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
2,15,1.0,loc,dolphin01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,0.0,2.0,5.0,True,2,1.5027776960050687,2.0,1,0.0018615539884194732
2,15,2.0,loc,tractor,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,7.0,2.0,5.0,True,2,1.2542049610055983,2.0,1,6.986430916993413
2,15,3.0,loc,toytank,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,14.0,2.0,4.0,True,4,1.8441837439895608,4.0,1,13.986326574988198
2,15,4.0,loc,skunk,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,20.0,2.0,4.0,True,2,1.5592907800455578,2.0,1,19.986356028995942
2,15,5.0,loc,revolver,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,26.0,2.0,4.0,True,1,1.4167019790038466,1.0,0,25.986398454988375
2,15,6.0,loc,flashlight02b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,32.0,2.0,6.0,True,4,1.0736174230114557,4.0,1,31.986392904014792
2,15,7.0,loc,almond,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,40.0,2.0,4.0,True,2,1.6689650409971364,2.0,1,39.986279666016344
2,15,8.0,loc,steamroller,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,46.0,2.0,4.0,True,3,1.5317145379958674,3.0,1,45.98636829497991
2,15,9.0,loc,butterdish,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,52.0,2.0,5.0,True,1,1.082973772950936,1.0,1,51.98635314498097
2,15,10.0,loc,stackingring01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,59.0,2.0,5.0,True,2,1.2080603319918737,2.0,1,58.986342730000615
2,15,11.0,loc,kidbicycle,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,66.0,2.0,6.0,True,1,1.3781211170135066,1.0,0,65.9864006669959
2,15,12.0,loc,heron01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,74.0,2.0,4.0,True,3,1.7340358429937623,3.0,0,73.98656868597027
2,15,13.0,loc,banjo,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,80.0,2.0,4.0,True,1,1.6167134509887546,1.0,0,79.98639877600363
2,15,14.0,loc,key01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,86.0,2.0,4.0,True,3,2.0566273749573156,3.0,0,85.98629932000767
2,15,15.0,loc,gamepiece,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,92.0,2.0,5.0,True,4,1.4881298909895122,4.0,1,91.98625184397679
2,15,16.0,loc,saxophone,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,99.0,2.0,6.0,True,1,1.080465197970625,1.0,1,98.98630278301425
2,15,17.0,loc,toilet,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,107.0,2.0,4.0,True,3,1.1815366750233807,3.0,1,106.98632712196559
2,15,18.0,loc,champagne,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,113.0,2.0,4.0,True,3,1.4001441900036298,3.0,1,112.98634976596804
2,15,19.0,loc,thread02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,119.0,2.0,7.0,True,3,1.3857897029956803,3.0,0,118.98631494800793
2,15,20.0,loc,scooter,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,128.0,2.0,7.0,True,2,1.374483969004359,2.0,0,127.98721558897523
2,15,21.0,loc,strawbasket01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,137.0,2.0,4.0,True,2,1.9138249839888886,2.0,0,136.98712818697095
2,15,22.0,loc,corn02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,143.0,2.0,4.0,True,1,1.1193920280202292,1.0,1,142.98699030297576
2,15,23.0,loc,nose,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,149.0,2.0,5.0,True,1,0.9301980179734528,1.0,0,148.98714876698796
2,15,24.0,loc,envelope03a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,156.0,2.0,4.0,True,3,1.2043567190412432,3.0,1,155.9871714959736
