session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,2,1.0,recog,masquerademask01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,0.0,2.0,4.0,True,1,0.8107992199948058,old,1,0.0019040019833482802
1,2,2.0,recog,graduationcap,new,,,2.0,,,6.0,2.0,6.0,True,2,0.8788640359998681,new,1,6.012905733019579
1,2,3.0,recog,sprinkler,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,14.0,2.0,4.0,True,1,0.9512108989874832,old,1,13.986323493008967
1,2,4.0,recog,tiger02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,20.0,2.0,4.0,True,1,1.0887741799815558,old,1,19.986423820024356
1,2,5.0,recog,cabbage,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,26.0,2.0,6.0,True,1,0.915277224034071,old,1,25.986281785997562
1,2,6.0,recog,sewingmachine01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,34.0,2.0,4.0,True,1,1.0336691430420615,old,1,33.98593357799109
1,2,7.0,recog,exercisemachine,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,40.0,2.0,4.0,True,1,0.8916885959915817,old,1,39.98650597600499
1,2,8.0,recog,ear,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,46.0,2.0,5.0,True,1,0.7723335140035488,old,1,45.986383490031585
1,2,9.0,recog,hibiscusflower02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,53.0,2.0,5.0,True,1,0.8735194989712909,old,1,52.9865190940327
1,2,10.0,recog,softcheese,new,,,2.0,,,60.0,2.0,4.0,True,2,0.9929395119543187,new,1,59.98608173703542
1,2,11.0,recog,trophy01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,66.0,2.0,4.0,True,1,0.7689694009604864,old,1,65.98638998303795
1,2,12.0,recog,casabamelon,new,,,2.0,,,72.0,2.0,5.0,True,2,1.0853939679800533,new,1,71.98663951602066
1,2,13.0,recog,filmroll,new,,,2.0,,,79.0,2.0,4.0,True,2,0.8321962160407566,new,1,78.98637197900098
1,2,14.0,recog,pear01,new,,,2.0,,,85.0,2.0,7.0,True,2,0.8987451539724134,new,1,84.98625974101014
1,2,15.0,recog,walkietalkie,new,,,2.0,,,94.0,2.0,7.0,True,2,0.8483740100055002,new,1,93.98629505903227
1,2,16.0,recog,teabag,new,,,2.0,,,103.0,2.0,5.0,True,2,0.9629812560160644,new,1,102.98721032199683
1,2,17.0,recog,tankertruck,new,,,2.0,,,110.0,2.0,5.0,True,2,1.0842254650196992,new,1,109.98724174802192
1,2,18.0,recog,travelmug,new,,,2.0,,,117.0,2.0,4.0,True,2,1.0225585729931481,new,1,116.98737690999405
1,2,19.0,recog,sheriffhat,new,,,2.0,,,123.0,2.0,4.0,True,2,0.8489853299688548,new,1,122.98724395199679
1,2,20.0,recog,birdhouse,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,129.0,2.0,4.0,True,1,0.781615193001926,old,1,128.98703416303033
1,2,21.0,recog,trampoline,new,,,2.0,,,135.0,2.0,6.0,True,2,0.6915371260256507,new,1,134.98629728500964
1,2,22.0,recog,rubberglove02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,143.0,2.0,4.0,True,1,1.1051402279990725,old,1,142.98745482903905
1,2,23.0,recog,pecan01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,149.0,2.0,6.0,True,1,1.3700712120044045,old,1,148.98729491402628
1,2,24.0,recog,drinkshaker,new,,,2.0,,,157.0,2.0,4.0,True,2,1.248369803011883,new,1,156.98760495701572
1,2,25.0,recog,cracker02,new,,,2.0,,,163.0,2.0,4.0,True,2,0.8136156399850734,new,1,162.98718889203155
1,2,26.0,recog,candycane01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,169.0,2.0,6.0,True,1,1.21307901898399,old,1,168.98728617699817
1,2,27.0,recog,leek,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,177.0,2.0,5.0,True,1,0.9613036689697765,old,1,176.9872282220167
1,2,28.0,recog,discoball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,184.0,2.0,4.0,True,1,1.289847820007708,old,1,183.98726567201084
1,2,29.0,recog,lock03a,new,,,2.0,,,190.0,2.0,4.0,True,2,0.6904438039637171,new,1,189.98724444198888
1,2,30.0,recog,watermelon01,new,,,2.0,,,196.0,2.0,4.0,True,2,0.7970023279776797,new,1,195.98712675500428
1,2,31.0,recog,bagtie,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,202.0,2.0,4.0,True,1,0.8725034319795668,old,1,201.98727456503548
1,2,32.0,recog,dalmatian,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,208.0,2.0,5.0,True,1,0.8678891309536994,old,1,207.988194613019
1,2,33.0,recog,studiolight,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,215.0,2.0,5.0,True,1,0.8355406040209346,old,1,214.98817580001196
1,2,34.0,recog,rockingchair,new,,,2.0,,,222.0,2.0,4.0,True,2,0.9092238049488515,new,1,221.98767374601448
1,2,35.0,recog,binoculars01b,new,,,2.0,,,228.0,2.0,4.0,True,2,0.9843567120260559,new,1,227.98771611601114
1,2,36.0,recog,bagel01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,234.0,2.0,5.0,True,1,0.7587218660046346,old,1,233.98825737298466
1,2,37.0,recog,mrpotatohead,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,241.0,2.0,4.0,True,1,0.7164694520179182,old,1,240.98839852702804
1,2,38.0,recog,violin,new,,,2.0,,,247.0,2.0,5.0,True,1,0.967866132967174,old,0,246.9881340750144
1,2,39.0,recog,dustpan,new,,,2.0,,,254.0,2.0,6.0,True,2,0.8386819320148788,new,1,253.9863356600399
1,2,40.0,recog,waterbottle01b,new,,,2.0,,,262.0,2.0,5.0,True,2,0.9346419780049473,new,1,261.9880589050008
1,2,41.0,recog,tortoise01,new,,,2.0,,,269.0,2.0,4.0,True,2,0.8379246119875461,new,1,268.988225966983
1,2,42.0,recog,cupcake,new,,,2.0,,,275.0,2.0,4.0,True,2,0.7873439170070924,new,1,274.988282832026
1,2,43.0,recog,rose,new,,,2.0,,,281.0,2.0,7.0,True,2,0.739744229009375,new,1,280.98819965298753
1,2,44.0,recog,siamesecat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,290.0,2.0,4.0,True,2,1.0478384039597586,new,0,289.9880034850212
