session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
2,12,1.0,loc,ladybug03,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,0.0,2.0,4.0,True,3,1.5834090529970126,3.0,1.0,0.0018740550003712997
2,12,2.0,loc,champagne,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,6.0,2.0,5.0,True,4,1.1670804820023477,4.0,1.0,5.987346045003505
2,12,3.0,loc,chalkboarderaser01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,13.0,2.0,4.0,True,2,1.4929227209941018,2.0,1.0,12.987229100006516
2,12,4.0,loc,daisy,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,19.0,2.0,7.0,True,4,2.542323806002969,4.0,0.0,18.987341984000523
2,12,5.0,loc,spraybottle01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,28.0,2.0,4.0,True,3,0.9308930459956173,3.0,1.0,27.987357895006426
2,12,6.0,loc,monitor,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,34.0,2.0,4.0,True,4,2.540491296997061,4.0,0.0,33.98721366300015
2,12,7.0,loc,toyanimal04,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,40.0,2.0,5.0,True,1,1.9600812400021823,1.0,0.0,39.987281687004725
2,12,8.0,loc,christmastree,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,47.0,2.0,7.0,True,3,1.0416038959956495,3.0,1.0,46.987235817010514
2,12,9.0,loc,mailtruck,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,56.0,2.0,4.0,True,2,1.300825302998419,2.0,1.0,55.987322647008114
2,12,10.0,loc,pintofbeer,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,62.0,2.0,5.0,True,4,1.5223897340038093,4.0,0.0,61.98720726399915
2,12,11.0,loc,interlockingbuildingblock03b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,69.0,2.0,4.0,True,1,2.355233207999845,1.0,1.0,68.98720549599966
2,12,12.0,loc,chandelier,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,75.0,2.0,4.0,True,1,1.447489657002734,1.0,1.0,74.98719351600448
2,12,13.0,loc,toysoldier01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,81.0,2.0,4.0,True,4,1.5236354810040211,4.0,0.0,80.98722133500269
2,12,14.0,loc,sprinkler,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,87.0,2.0,6.0,True,3,1.6223306340107229,3.0,1.0,86.98723985299875
2,12,15.0,loc,violin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,95.0,2.0,5.0,True,2,2.264337856002385,2.0,1.0,94.98719480700674
2,12,16.0,loc,belltower01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,102.0,2.0,4.0,True,2,2.9203819739923347,2.0,1.0,101.98735861601017
2,12,17.0,loc,hammer01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,108.0,2.0,6.0,True,4,2.478295173990773,4.0,0.0,107.98711992200697
2,12,18.0,loc,siamesecat,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,116.0,2.0,4.0,True,2,1.2810394010011805,2.0,1.0,115.98819771400304
2,12,19.0,loc,centurionhelmet,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,122.0,2.0,6.0,False,,,,,121.98810455700732
2,12,20.0,loc,slipper01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,130.0,2.0,4.0,True,1,1.774145891002263,1.0,1.0,129.9863743730093
2,12,21.0,loc,icecubetray01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,136.0,2.0,5.0,True,2,3.3586992909986293,2.0,0.0,135.9864211140084
2,12,22.0,loc,windmill,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,143.0,2.0,4.0,True,2,1.4897592540073674,2.0,1.0,142.9884799010033
2,12,23.0,loc,cruiseship,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,149.0,2.0,4.0,True,3,2.9181009659951087,3.0,0.0,148.98830600600922
2,12,24.0,loc,dartboard,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,155.0,2.0,5.0,True,2,1.3789326769910986,2.0,1.0,154.98634019900055
